gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1292012482	StillImage	image/jpeg	https://beaty.b-cdn.net/M017274.jpg											
1292012482	StillImage	image/jpeg	https://beaty.b-cdn.net/M017274a.jpg											
1292012482	StillImage	image/jpeg	https://beaty.b-cdn.net/M017274b.jpg											
1292012477	StillImage	image/jpeg	https://beaty.b-cdn.net/M017243a.jpg											
1292012477	StillImage	image/jpeg	https://beaty.b-cdn.net/M017243.jpg											
1292012459	StillImage	image/jpeg	https://beaty.b-cdn.net/M017230a.jpg											
1292012459	StillImage	image/jpeg	https://beaty.b-cdn.net/M017230c.jpg											
1292012459	StillImage	image/jpeg	https://beaty.b-cdn.net/M017230b.jpg											
1292012459	StillImage	image/jpeg	https://beaty.b-cdn.net/M017230.jpg											
1292012448	StillImage	image/jpeg	https://beaty.b-cdn.net/M017233a.jpg											
1292012448	StillImage	image/jpeg	https://beaty.b-cdn.net/M017233.jpg											
1292012435	StillImage	image/jpeg	https://beaty.b-cdn.net/M017231a.jpg											
1292012435	StillImage	image/jpeg	https://beaty.b-cdn.net/M017231b.jpg											
1292012435	StillImage	image/jpeg	https://beaty.b-cdn.net/M017231.jpg											
1292012435	StillImage	image/jpeg	https://beaty.b-cdn.net/M017231c.jpg											
1292012424	StillImage	image/jpeg	https://beaty.b-cdn.net/M016961.jpg											
1292012424	StillImage	image/jpeg	https://beaty.b-cdn.net/M016961b.jpg											
1292012424	StillImage	image/jpeg	https://beaty.b-cdn.net/M016961c.jpg											
1292012424	StillImage	image/jpeg	https://beaty.b-cdn.net/M016961a.jpg											
1292012423	StillImage	image/jpeg	https://beaty.b-cdn.net/M017232.jpg											
1292012423	StillImage	image/jpeg	https://beaty.b-cdn.net/M017232a.jpg											
1292012404	StillImage	image/jpeg	https://beaty.b-cdn.net/M017163a.jpg											
1292012404	StillImage	image/jpeg	https://beaty.b-cdn.net/M017163c.jpg											
